theme,category,is_communication_attempt,is_general_theme
aid_related,aid_centers,FALSE,FALSE
aid_related,other_aid,FALSE,FALSE
aid_related,search_and_rescue,FALSE,FALSE
aid_related,shelter,FALSE,FALSE
aid_related,money,FALSE,FALSE
aid_related,water,FALSE,FALSE
aid_related,food,FALSE,FALSE
aid_related,clothing,FALSE,FALSE
aid_related,tools,FALSE,FALSE
communication,request,TRUE,FALSE
communication,direct_report,TRUE,FALSE
communication,offer,TRUE,FALSE
infrastructure_related,buildings,FALSE,FALSE
infrastructure_related,shops,FALSE,FALSE
infrastructure_related,transport,FALSE,FALSE
infrastructure_related,other_infrastructure,FALSE,FALSE
medical_help,death,FALSE,FALSE
medical_help,hospitals,FALSE,FALSE
medical_help,medical_products,FALSE,FALSE
missing_people,refugees,FALSE,FALSE
missing_people,child_alone,FALSE,FALSE
security_and_safety,security,FALSE,FALSE
security_and_safety,military,FALSE,FALSE
security_and_safety,electricity,FALSE,FALSE
security_and_safety,fire,FALSE,FALSE
weather_related,floods,FALSE,FALSE
weather_related,storm,FALSE,FALSE
weather_related,earthquake,FALSE,FALSE
weather_related,cold,FALSE,FALSE
weather_related,other_weather,FALSE,FALSE
aid_related,aid_related,FALSE,TRUE
infrastructure_related,infrastructure_related,FALSE,TRUE
medical_help,medical_help,FALSE,TRUE
missing_people,missing_people,FALSE,TRUE
weather_related,weather_related,FALSE,TRUE